Stock,Author,Title,AskingPrice,Notes,Active,Catalog #1,Catalog #2,Cost,Binding,BookType,Inscription,Publisher,Edition,Book Cond,Jckt Cond,ISBN,PubLoc,PubYr,PrivateComment,Amazon,Price,,,,,
1290,"Bruen, Ken",Priest,27.24,"UK Uncorrected Book proof, Bantam Press 2006. Fine condition, light handling wear only. Trade paperback format with card covers as issued.",Y,1,,1.99,Trade Paperback,Proof,,Bantam Press,First Edition,F,No Jacket,0593055101,UK,2006,,Y,27.24,,,,,
1078,"Cain, Chelsea",Heart Sick,27.24,"UK 1/1 HB Macmillan, 2007. Signed by Author to title page. VG/VG, light wear to edges.",Y,1,,0.69,Hard Cover,,Signed by Author,Macmillan,First Edition,VG,VG,9780230015890,UK,2007,,Y,27.24,,,,,
1154,"Cain, Tom",The Accident Man,17.24,"UK 1/1 HB. Bantam Press 2007. VG/VG, Light wear to edges only.",Y,1,,1,Hard Cover,,,Bantam Press,First Edition,VG,VG,9780593058053,UK,2007,,Y,17.24,,,,,
928,"Child, Lee",Die Trying,97.24,"UK Book Proof, Bantam 1998. Signed by author to title page. VG+, light wear only.",Y,1,,7.47,Trade Paperback,Proof,Signed by Author,Bantam Press,First Edition,VG,No Jacket,0593041445,UK,1998,,D,,,,,,
1014,"Child, Lee",Killing Floor,197.24,"UK Uncorrected Proof, Bantam Press 1997.Signed by Lee Child to title page. Trade paperback format, VG condition with light spine creases and gentle wear to edges only.",Y,1,,10.15,Trade Paperback,Proof,Signed by Author,Bantam Press,First Edition,VG,No Jacket,0593041437,UK,1997,,Y,197.24,,,,,
1035,"Child, Lee",The Hard Way,27.24,"USA 1/1 HB, Delacorte 2006.Signed by Author to title page. VG/VG light rubbing to DJ edges and light bumping to spine top & bottom",Y,1,,3.79,Hard Cover,,Signed by Author,Delacorte Press,First Edition,VG,VG,0385336691,USA,2006,,Y,27.24,,,,,
1050,"Child, Lee",Die Trying,172.24,"UK Book Proof, Bantam 1998. Signed by Lee Child to title page. Fine condition",Y,1,,6.5,Trade Paperback,Proof,Signed by Author,Bantam Press,First Edition,F,No Jacket,0593041445,UK,1998,,Y,172.24,,,,,
1111,"Child, Lee",The Visitor,122.24,"UK Uncorrected Proof, Bantam 2000. Signed by Lee Child to title page. Creases to spine, wear to edges.",Y,1,,4.89,Trade Paperback,,Signed by Author,Bantam Press,First Edition,VG,No Jacket,0593043995,UK,2000,,Y,122.24,,,,,
1114,"Child, Lee",Die Trying,122.24,"UK 1/1 HB, Bantam Press 1998. Signed by Author to title page. VG/VG light wear to edges, v slight lean and small chip to top rear edge.",Y,1,,7.2,Hard Cover,,Signed by Author,Bantam Press,First Edition,VG,VG,0593041445,UK,1998,,Y,122.24,,,,,
1207,"Child, Lee",Without Fail,37.24,"UK Uncorrected Book Proof, Bantam Press 2002. VG, Light rubbing to edges.",Y,1,,3.49,Trade Paperback,Proof,,Bantam Press,First Edition,VG,No Jacket,0593046862,UK,2002,,Y,37.24,,,,,
1300,"Child, Lee",Without Fail,72.24,"UK Uncorrected Book Proof, Bantam Press 2002. Signed by Lee Child to title page. Fine condition, lightest wear only.",Y,1,,2.65,Trade Paperback,Proof,Signed by Author,Bantam Press,First Edition,VG,No Jacket,0593046862,UK,2002,,Y,72.24,,,,,
1327,"Child, Lee",Tripwire,97.24,"UK uncorrected proof, Bantam Press 1999. VG condition, single crease to front cover edge, otherwise light wear.",Y,1,,13.25,Trade Paperback,Proof,,Bantam Press,First Edition,VG,No Jacket,0593043936,UK,1999,,Y,97.24,,,,,
1356,"Child, Lee",Tripwire,72.24,"UK 1/1 HB, Bantam Press 1999. VG/VG, DJ has wear to top and bottom of spine and foldover edges. Book has slight lean. Tidy copy of scarce first edition. Reliable service from Lee Child specialists.",Y,1,,2.5,Hard Cover,,,Bantam Press,First Edition,VG,VG,0593043936,UK,1999,,Y,72.24,,,,,
1728,"Child, Lee",A wanted man,27.19,"UK 1/1 HB, Bantam Press 2012. Signed by Lee Child to title page. Fine/Fine condition, new book.",Y,1,,9.49,Hard Cover,,Signed by Author,Bantam Press,First Edition,Fine,Fine,9780593065730,UK,2012,,Y,27.19,,,,,
1660,"Clark, Simon",Judas Tree,17.2,"UK 1/1 HB, Hodder and Stoughton 1999. F/F condition, lightest of shelfwear to edges only",Y,1,,5.4,Hard Cover,,,Hodder & Stoughton,First Edition,Nr Fine,Nr Fine,0340739134,UK,1999,Columbia,Y,17.2,,,,,
614,"Clarke, Susanna",Jonathan Strange & Mr Norrell,50,"UK 1st Edn, Bloomsbury 2004. F/F. Edn in white boards & DJ. Includes Raven promo newspaper.",Y,1,,14.99,Hard Cover,,,Bloomsbury,First Edition,F,F ,0747570558,UK,2004,,N,,,,,,
615,"Clarke, Susanna",Jonathan Strange & Mr Norrell,50,"UK 1st Edn, Bloomsbury 2004. F/F. Edn in black boards & DJ. Includes Raven promo newspaper.",Y,1,,14.99,Hard Cover,,,Bloomsbury,First Edition,F,F ,0747570558,UK,2004,,N,,,,,,
493,"Coben, Harlan",Just One Look,27.24,"UK Uncorrected Proof copy, Orion, 2004, Signed by Author to title page. colour wraps, Fine.",Y,1,,0,Trade Paperback,Proof,Signed by Author,Orion,First Edition,Fine,No Jacket,752852582,UK,2004,,Y,27.24,,,,,
578,"Coben, Harlan",One False Move,22.24,"USA HB 1st edn, Delacorte 1998. Signed by Author to title page. VG/VG, light rubbing to edges only. V small stain to inside of DJ at bottom edge, book unaffected.",Y,1,,1.99,Hard Cover,,Signed by Author,Delacorte,First Edition,VG,VG,0385323697,USA,1998,,Y,22.24,,,,,
643,"Coben, Harlan",The Final Detail,32.24,"UK 1st edn 1st imp HB, Hodder & Stoughton 1999. Signed by Author to title page. VG/VG. Light rubbing & bumping to edges, Book has slight lean. The original UK release of this early Coben title.",Y,1,,6.95,Hard Cover,,Signed by Author,Hodder & Stoughton,First Edition,VG,VG,0340751401,UK,1999,,Y,27.24,,,,,
751,"Coben, Harlan",The Innocent,14.99,"UK 1/1 HB, Orion 2005.VG/VG condition, Signed by Author to title page. Light rubbing & bumping to edges & single bump to rear top edge.",Y,1,,4.99,Hard Cover,,Signed by Author,Orion,First Edition,VG,VG,0752867830,UK,2005,,Y,14.99,,,,,
787,"Coben, Harlan",The Final Detail,32.24,"UK 1/1 Hodder & Stoughton 1999. Signed by Author to title page. VG/VG, v light rubbing only. Scarce original UK issue.",Y,1,,4.75,Hard Cover,,Signed by Author,Hodder & Stoughton,First Edition,VG,VG,0340751401,UK,1999,,Y,32.24,,,,,
791,"Coben, Harlan",Promise Me,14.99,"UK 1/1 HB, Orion 2006. Signed by Author to title page. VG/VG - light shelfwear.",Y,1,,1.5,Hard Cover,,Signed by Author,Orion,First Edition,VG,VG,075287439x,UK,2006,,Y,9.99,,,,,
951,"Coben, Harlan",The Final Detail,20,"UK 1/1 Hodder & Stoughton 1999. VG/VG, rubbing to DJ edges and top & bottom of spine. Scarce original UK issue.",Y,1,,3.79,Hard Cover,,,Hodder & Stoughton,First Edition,VG,VG,0340751401,UK,1999,,D,,,,,,
1013,"Coben, Harlan",No Second Chance,27.24,"UK Uncorrected proof, Orion 2003. F condition, trade paperback format with lightest of edge wear only.",Y,1,,3.47,Trade Paperback,Proof,,Orion,First Edition,VG,No Jacket,0752852566,UK,2003,,D,,,,,,
1044,"Coben, Harlan",The Final Detail,20,"UK 1/1 Hodder & Stoughton 1999. VG/VG, v light rubbing only. Scarce original UK issue.",Y,1,,4.7,Hard Cover,,,Hodder & Stoughton,First Edition,VG,VG,0340751401,UK,1999,,D,,,,,,
1140,"Coben, Harlan",One False Move,32.24,"UK 1/1 HB, Hodder & Stoughton 1998. Signed by Harlan Coben to title page. VG/VG, light wear and rubbing to edges. ",Y,1,,4.22,Hard Cover,,Signed by Author,Hodder & Stoughton,First Edition,VG,VG,0340738464,UK,1998,,D,,,,,,
1153,"Coben, Harlan",The Innocent,12.24,"UK 1/1 HB. Orion 2005. VG/VG, Light wear to edges only",Y,1,,1,Hard Cover,,,Orion,First Edition,VG,VG,0752867830,UK,2005,,N,,,,,,
1163,"Coben, Harlan",No Second Chance,27.24,"UK Uncorrected proof, Orion 2003. F condition, trade paperback format with lightest of edge wear only.",Y,1,,0.75,Trade Paperback,Proof,Signed by Author,Orion,First Edition,VG,No Jacket,0752852566,UK,2003,,Y,27.24,,,,,
1299,"Coben, Harlan",One False Move,37.24,"USA Advance Readers edition, Delacorte 1998. Trade paperback format. VG condition, light wear to edges. Trade paperback format with glossy card covers.",Y,1,,0.5,Trade Paperback,Proof,,Delacorte Press,First Edition,VG,No Jacket,0385323697,USA,1998,,Y,37.24,,,,,
1051,"Colfer, Eoin",The Supernaturalist,9.99,"UK 1/1 HB, Puffin 2004. VG/VG very light wear to DJ edges only.",Y,1,,1,Hard Cover,,,Puffin,First Edition,VG,VG,0141380403,UK,2004,,Y,9.99,,,,,
1054,"Colfer, Eoin",Artemis Fowl: The Opal Deception,17.24,"UK 1/1 HB, Puffin 2005. F/F, with original promo bookmark.",Y,1,,1.99,Hard Cover,,,Puffin,First Edition,F,F,0141381647,UK,2005,,Y,17.24,,,,,
1219,"Colfer, Eoin",Artemis Fowl,12.24,"UK 1/1 HB, Viking 2001. VG/VG, light edge wear, sl lean. ",Y,1,,2.49,Hard Cover,,,Viking,First Edition,VG,VG,0670899623,UK,2001,,Y,12.24,,,,,
1313,"Colfer, Eoin",Artemis Fowl,25,"UK 1/1 HB, Viking 2001. Nr F / Nr F. Lightest shelfwear only. ",Y,1,,0.99,Hard Cover,,,Viking,First Edition,Nr F,Nr F,0670899623,UK,2001,,D,,,,,,
589,"Compton, Jodi",The 37th hour,9.99,"UK 1st edn HB, Hodder & Stoughton 2004. VG/VG.",Y,1,,2,Hard Cover,,,Hodder & Stoughton,First Edition,VG,VG,0340828668,UK,2004,,N,,,,,,
1198,"Compton, Jodi",The 37th hour,27.24,"UK Advance Reading Copy 1/1 TPB. Hodder & Stoughton 2003. VG condition, light wear to edges.",Y,1,,2.5,Trade Paperback,Proof,,Hodder & Stoughton,First Edition,VG,No Jacket,0340828668,UK,2003,,Y,27.24,,,,,
426,"Connelly, Michael",Playboy (Jan 2003),120,"Playboy magazine Jan 2003 includes Harry Bosch short story, Fine condition. Signed by Michael Connelly to article title page.",Y,1,,5.75,Magazine,,Signed by Author,Playboy,First Edition,Fine,No Jacket,,USA,2003,,N,,,,,,
498,"Connelly, Michael",The Narrows,25,"UK 1st edn HB, Orion 2004. F/F. Signed by Michael Connelly to title page.",Y,1,,9.97,Hard Cover,,Signed by Author,Orion,First Edition,Fine,Fine,752857266,UK,2004,,n,,,,,,
792,"Connelly, Michael",Chasing the Dime,12.99,"UK 1st HB edn, Orion, 2002, VG/VG. Signed by Author to title page. Light sticker residue to cover, rubbing to edges.",Y,1,,2,Hard Cover,,Signed by Author,Orion,First Edition,Fine,Fine,752821415,UK,2002,,Y,27.24,,,,,
833,"Connelly, Michael",Echo Park,24.99,"UK 1/1 HB, Orion. Signed by Author to title page. New book",Y,1,,9.99,Hard Cover,,Signed by Author,Orion,First Edition,F,F,0752865846,UK,2006,,Y,27.24,,,,,
835,"Connelly, Michael",The Narrows,22.24,"USA 1/1HB, Little,Brown 2004. Signed by Author to title page. VG/VG, light wear to DJ edges",Y,1,,1,Hard Cover,,Signed by Author,Little Brown,First Edition,VG,VG,0316155306,USA,2004,,Y,22.24,,,,,
861,"Connelly, Michael",Angels Flight,22.24,"UK PB Special Book Proof edition. Orion 1999. Signed by author to title page. VG condition, light wear only.",Y,1,,0,Mass Market Paperback,Proof,Signed by Author,Orion,First Paperback Edition,VG,No Jacket,0752826948,UK,1999,,Y,22.24,,,,,
960,"Connelly, Michael",The Lincoln Lawyer,18.24,"UK 1/1HB, Orion 2005. Signed by author to title page. VG/VG. V slight lean only.",Y,1,,1,Hard Cover,,Signed by Author,Orion,First Edition,VG,VG,0752865838,UK,2005,,,,,,,,
979,"Connelly, Michael",Void Moon,37.24,"1st US HB, Little, Brown 2000, Signed by author to title page. F/F. Book featuring untrimmed pages in the US style. Stunning embossed black and silver dust jacket. ",Y,1,,2,Hard Cover,,Signed by Author,"Little, Brown",First Edition,Fine,Fine,316154067,USA,2000,,Y,37.24,,,,,
985,"Connelly, Michael",The Lincoln Lawyer,18.24,"UK 1/1HB, Orion 2005. Signed by Author to title page. F/F",Y,1,,2.99,Hard Cover,,Signed by Author,Orion,First Edition,F,F,0752865838,UK,2005,,Y,18.24,,,,,
986,"Connelly, Michael",Angels Flight,37.24,"UK 1/1HB, Orion 1999. Signed by Author to title page. F/F",Y,1,,2,Hard Cover,,Signed by Author,Orion,First Edition,F,F,0752821377,UK,1999,,Y,37.24,,,,,
1006,"Connelly, Michael",The Overlook,27.24,"UK 1/1HB, Orion 2007. Signed by author to title page. F/F",Y,1,,5.49,Hard Cover,,Signed by Author,Orion,First Edition,F,F,9780752889689,UK,2007,,Y,27.24,,,,,
1049,"Connelly, Michael",Trunk Music,42.24,"UK 1/1 HB, Orion 1997. Signed by Author to title page. VG/VG condition. Light wear to edges, light marking to base of spine DJ.",Y,1,,10.5,Hard Cover,,Signed by Author,Orion,First Edition,VG,VG,0752807005,UK,1997,,Y,42.24,,,,,
1076,"Connelly, Michael",Echo Park,15,"UK 1/1 HB, Orion 2006. VG/VG, light wear to edges.",Y,1,,0.69,Hard Cover,,,Orion,First Edition,VG,VG,0752865846,UK,2006,,D,,,,,,
1077,"Connelly, Michael",The Overlook,15,"UK 1/1 HB, Orion 2007. F/F, v light wear to edges only.",Y,1,,0.69,Hard Cover,,,Orion,First Edition,F,F,9780752889689,UK,2007,,D,,,,,,
1116,"Connelly, Michael",Angels Flight,17.24,"UK 1/1HB, Orion 1999. VG/VG, light wear to edges.",Y,1,,0.99,Hard Cover,,,Orion,First Edition,VG,VG,0752821377,UK,1999,,Y,17.24,,,,,
1145,"Connelly, Michael",Trunk Music,27.24,"UK 1/1 HB. Orion 1997. VG/VG, Light wear to edges only.",Y,1,,2,Hard Cover,,,Orion,First Edition,VG,VG,0752807005,UK,1997,,D,,,,,,
1151,"Connelly, Michael",Blood Work,22.24,"UK 1/1 HB. Orion 1998. Signed by Author to title page. VG/VG, Light wear to edges only.",Y,1,,1.99,Hard Cover,,Signed by Author,Orion,First Edition,VG,VG,0752812122,UK,1998,,Y,22.24,,,,,
1152,"Connelly, Michael",A darkness more than night,42.24,"UK 1/1 HB. Orion 2001. Signed by Author to title page. VG/VG, Light wear to edges. DJ is pc.",Y,1,,1.5,Hard Cover,,Signed by Author,Orion,First Edition,VG,VG,0752821393,UK,2001,,Y,42.24,,,,,
1179,"Connelly, Michael",Echo Park,22.24,"UK Uncorrected proof, Orion 2006. VG condition, wear to edges, light marking to page block.. ",Y,1,,3,Trade Paperback,,,Orion,First Edition,VG,No Jacket,0752865846,UK,2006,,N,,,,,,
